,co_ope,dt_base,vlr_base,dt_nasc,sexo,renda,renda_liq,dt_relac,co_cart,co_prof,cep
88,58,44613,6560.92,28769.0,0,2500.0,2500.0,35127.0,0,24,5505
89,17,44857,5786.6,28769.0,0,2500.0,2500.0,35127.0,0,24,5505
90,21,44857,1636.43,31077.0,0,0.0,0.0,37866.0,0,151,6128
91,16,44857,1128.57,31077.0,0,0.0,0.0,37866.0,0,151,6128
92,58,44613,2001.79,31077.0,0,0.0,0.0,37866.0,0,151,6128
93,17,44857,685.53,31077.0,0,0.0,0.0,37866.0,0,151,6128
94,6,44857,5572.11,24222.0,0,1906.13,1906.13,36647.0,0,220,1382
95,21,44838,106.39,27225.0,0,1500.0,1500.0,38214.0,0,234,3135
96,56,44773,1413.76,32436.0,0,0.0,0.0,43628.0,0,313,13215
97,6,44857,6593.91,31299.0,0,3600.0,3078.2,39826.0,0,47,8354
98,60,44613,788.76,32248.0,0,0.0,0.0,42582.0,0,356,6735
99,60,44613,923.44,32879.0,0,0.0,0.0,41629.0,0,240,14212
100,56,44613,717.67,27300.0,0,3714.77,3160.24,40085.0,0,132,3556
101,56,44613,321.71,27162.0,0,0.0,0.0,38089.0,0,241,7989
102,58,44613,989.26,27162.0,0,0.0,0.0,38089.0,0,241,7989
103,16,44857,370.86,27162.0,0,0.0,0.0,38089.0,0,241,7989
104,21,44857,992.68,28867.0,0,1212.0,1212.0,40405.0,0,241,7729
105,21,44914,532.69,31280.0,0,0.0,0.0,38747.0,0,204,7403
106,56,44613,744.31,30212.0,0,749.78,749.78,39435.0,0,132,24675
107,5,44857,303.06,31849.0,0,1936.24,1112.41,37878.0,0,151,5987
108,14,44857,8171.75,31849.0,0,1936.24,1112.41,37878.0,0,151,5987
109,17,44857,737.13,31849.0,0,1936.24,1112.41,37878.0,0,151,5987
110,58,44613,2893.0,31849.0,0,1936.24,1112.41,37878.0,0,151,5987
111,6,44857,255.8,18263.0,0,1653.87,1116.17,39306.0,0,391,14172
112,17,44843,1472.98,16263.0,0,0.0,0.0,36815.0,0,277,5188
113,16,44857,2325.13,31657.0,0,0.0,0.0,42277.0,0,163,8417
114,21,44857,1570.31,33744.0,0,0.0,0.0,42078.0,0,199,22174
115,56,44613,1043.94,33744.0,0,0.0,0.0,42078.0,0,199,22174
116,16,44857,1555.66,24366.0,0,3295.61,3295.61,37594.0,0,199,23079
117,16,44857,1675.86,31592.0,0,0.0,0.0,41288.0,0,267,14455
118,58,44613,7122.91,24183.0,0,12909.91,5790.03,42112.0,0,65,11245
119,17,44857,3447.17,31550.0,0,2138.13,1443.76,39152.0,0,315,19348
